experiment,repeat,training_objective,D,gamma,N,alpha,M_train,num_steps,fast_debug,final_run,macbook_30min_run,run_mode,t_val,train_loss_t,train_acc_t,test_loss_t,test_acc_t
A+B+C,0,repo_uniform_t,80,2.0,160,2.0,160,3000,False,True,False,full_final,0.9,0.6394797039031982,0.6444448971748352,0.7467785024642944,0.5663250946998596
A+B+C,0,repo_uniform_t,80,2.0,160,5.0,400,3000,False,True,False,full_final,0.1,0.30122669994831086,0.8704894971847534,0.5864519655704499,0.7346166515350342
A+B+C,0,repo_uniform_t,80,2.0,160,5.0,400,3000,False,True,False,full_final,0.3,0.38696658730506894,0.8224036538600922,0.6187836122512818,0.7086518216133117
A+B+C,0,repo_uniform_t,80,2.0,160,5.0,400,3000,False,True,False,full_final,0.5,0.4754304414987564,0.7700497090816498,0.6488139963150025,0.6786325156688691
A+B+C,0,repo_uniform_t,80,2.0,160,5.0,400,3000,False,True,False,full_final,0.7,0.5649993073940277,0.7082232165336609,0.6744688141345978,0.6398031604290009
A+B+C,0,repo_uniform_t,80,2.0,160,5.0,400,3000,False,True,False,full_final,0.9,0.6522424972057342,0.6195398449897767,0.6907514500617981,0.5818277263641357
A+B+C,0,repo_uniform_t,80,2.0,160,10.0,800,3000,False,True,False,full_final,0.1,0.37426716029644014,0.8299761390686036,0.5077400928735734,0.7583071184158325
A+B+C,0,repo_uniform_t,80,2.0,160,10.0,800,3000,False,True,False,full_final,0.3,0.44210347414016726,0.7901011562347412,0.5502001762390136,0.7298856234550476
A+B+C,0,repo_uniform_t,80,2.0,160,10.0,800,3000,False,True,False,full_final,0.5,0.511548957824707,0.745410578250885,0.5929361057281494,0.6964135730266571
A+B+C,0,repo_uniform_t,80,2.0,160,10.0,800,3000,False,True,False,full_final,0.7,0.5840629768371582,0.6904884827136993,0.6342295277118682,0.6543503618240356
A+B+C,0,repo_uniform_t,80,2.0,160,10.0,800,3000,False,True,False,full_final,0.9,0.6568522703647613,0.6103287410736083,0.6752334988117218,0.5896029579639435
A+B+C,0,repo_uniform_t,80,2.0,160,20.0,1600,3000,False,True,False,full_final,0.1,0.4098750800132751,0.80790856757164,0.47763157486915586,0.7691558635234833
A+B+C,0,repo_uniform_t,80,2.0,160,20.0,1600,3000,False,True,False,full_final,0.3,0.46852298350334165,0.7728925311565399,0.5231867098808288,0.7399452507495881
A+B+C,0,repo_uniform_t,80,2.0,160,20.0,1600,3000,False,True,False,full_final,0.5,0.5299020510196686,0.7320834864139556,0.571548639535904,0.7055582511425018
A+B+C,0,repo_uniform_t,80,2.0,160,20.0,1600,3000,False,True,False,full_final,0.7,0.5940121366977692,0.6812695779800415,0.6197938406467438,0.6612225902080536
A+B+C,0,repo_uniform_t,80,2.0,160,20.0,1600,3000,False,True,False,full_final,0.9,0.6595335162639618,0.6056059654712677,0.6686641335487366,0.5945675957202912
A+B+C,0,repo_uniform_t,80,2.0,160,50.0,4000,3000,False,True,False,full_final,0.1,0.4298660573959351,0.7958014217567444,0.4560599136352539,0.7802739477157593
A+B+C,0,repo_uniform_t,80,2.0,160,50.0,4000,3000,False,True,False,full_final,0.3,0.48325636380672454,0.7629822257232666,0.5052953612804413,0.749021770954132
A+B+C,0,repo_uniform_t,80,2.0,160,50.0,4000,3000,False,True,False,full_final,0.5,0.5393337588691711,0.7246084959697723,0.5566982781887054,0.7127312767505646
